CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"6,000.00",75,1.10,1.50,"4,500",1.50,1.80,170.14,5,2,4,
,11,-,-,-,"7,080.00",-,75,"6,970.80","7,063.55",300,"8,000.00",225,0.85,1.25,"1,500",-0.05,0.80,111.11,15,-1,166,
,"6,183",-2,5,-,"6,508.00",-172.00,375,"6,479.35","6,525.95",150,"8,500.00",75,0.65,0.75,"1,200",-0.25,0.60,98.67,9,-3,746,
,93,-1,1,211.83,"6,275.00",475.00,75,"5,978.70","6,059.40",75,"9,000.00",75,1.00,1.30,"1,500",0.15,1.00,93.44,70,-25,"2,633",
,19,-,-,-,"5,645.65",-,150,"5,479.05","5,553.55",300,"9,500.00",825,1.10,1.35,225,-0.65,1.10,85.02,37,-,293,
,714,-13,23,-,"5,032.90",-153.40,75,"5,003.35","5,029.85",150,"10,000.00","1,650",1.15,1.35,75,-0.30,1.20,76.85,544,-230,"4,299",
,287,-2,2,-,"4,553.50",138.80,300,"4,477.65","4,532.80",75,"10,500.00","3,825",1.25,1.40,225,-0.25,1.25,68.66,164,-2,"4,516",
,"1,033",-70,75,-,"4,036.85",-163.75,150,"3,994.50","4,033.30",375,"11,000.00",150,1.70,2.00,75,-0.30,1.70,62.40,"1,240",-45,"7,267",
,"2,635",-2,14,-,"3,526.00",-189.00,75,"3,505.95","3,535.30",375,"11,500.00","1,575",2.70,2.90,150,0.15,2.70,57.15,"3,302",-365,"7,034",
,"5,206",-124,169,-,"3,030.00",-164.40,75,"3,015.40","3,033.25",75,"12,000.00","2,100",3.20,3.50,375,-0.75,3.15,49.92,"6,262",576,"22,549",
,32,-,-,-,"2,871.95",-,"3,375","2,677.15","3,083.75","3,375","12,150.00",150,3.15,4.00,150,-1.15,4.00,48.90,106,48,71,
,"1,064",-,20,78.43,"2,942.25",-35.55,150,"2,810.75","2,888.05","3,525","12,200.00",675,3.15,4.95,150,-0.90,3.55,47.37,521,-68,"1,373",
,-,-,-,-,-,-,"3,375","2,694.70","2,878.15","3,375","12,250.00",150,1.05,-,-,-,-,-,-,-,-,
,200,-1,1,82.38,"2,868.00",4.60,"1,575","2,681.50","2,786.85","3,375","12,300.00","3,000",3.65,5.95,750,-1.50,4.50,47.14,70,-9,969,
,-,-,-,-,-,-,"3,375","2,583.20","2,775.30","3,375","12,350.00","1,500",2.00,-,-,-,-,-,-,-,-,
,69,-1,1,-,"2,626.35",-137.85,"3,375","2,556.90","2,650.45",600,"12,400.00",150,4.20,5.80,"1,500",-1.15,4.80,45.88,579,55,595,
,-,-,-,-,-,-,"3,375","2,498.75","2,715.90","3,375","12,450.00",375,3.10,-,-,-,12.65,-,-,-,7,
,"4,326","-1,500","1,719",-,"2,530.60",-177.95,300,"2,526.10","2,542.25",75,"12,500.00","1,725",5.50,5.75,"3,000",-1.05,5.50,45.04,"13,988","-1,294","26,402",
,-,-,-,-,-,-,"3,375","2,403.20","2,578.75","3,375","12,550.00",525,1.30,-,-,-,14.00,-,-,-,1,
,185,-,1,-,"2,425.20",-22.65,"3,375","2,364.05","2,479.10","3,375","12,600.00",750,5.00,7.00,300,-1.20,6.05,43.94,607,-76,733,
,-,-,-,-,-,-,"4,875","2,242.30","2,564.50","3,375","12,650.00",525,1.30,-,-,-,16.80,-,-,-,7,
,85,-2,3,-,"2,344.60",-11.95,75,"2,308.50","2,366.20",75,"12,700.00",75,5.05,7.95,"1,500",-1.25,6.30,42.50,793,428,954,
,-,-,-,-,-,-,"3,375","2,240.25","2,529.90","3,375","12,750.00",525,1.30,-,-,-,9.00,-,-,-,73,
,138,-,-,-,"2,366.60",-,75,"2,210.80","2,257.05",600,"12,800.00",375,6.05,7.80,600,-1.20,7.00,41.44,"3,111",-256,"2,099",
,-,-,-,-,-,-,"3,375","2,064.40","2,596.05","3,375","12,850.00",525,1.50,-,-,-0.50,20.85,-,-,-,58,
,93,-,2,-,"2,127.50",-7.30,"3,375","2,099.30","2,157.40",750,"12,900.00",750,5.20,8.45,"1,350",-0.55,8.05,40.58,"2,471",-616,882,
,-,-,-,-,-,-,"4,875","1,980.90","2,477.75","3,375","12,950.00",300,3.75,-,-,-,12.65,-,-,-,94,
